open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-04-21 11:00:00,87347.82,87351.04,86644.29,86971.92,1164.29091,2025-04-21 11:59:59.999,101208718.55289550,100369,351.15383000,30516573.11806400,0
2025-04-21 12:00:00,86971.92,87538.46,86962.46,87038.71,871.3383,2025-04-21 12:59:59.999,76050610.13782980,99636,503.15367000,43925094.01386940,0
2025-04-21 13:00:00,87038.71,87575.21,86779.97,87028.09,1660.3259,2025-04-21 13:59:59.999,144721208.96331090,205664,769.89822000,67135359.42478820,0
2025-04-21 14:00:00,87028.08,88465.99,86943.39,88208.37,3876.26378,2025-04-21 14:59:59.999,341130380.72910610,359488,2486.84143000,218857972.89794240,0
2025-04-21 15:00:00,88208.37,88329.49,87862.93,88044.8,1920.55832,2025-04-21 15:59:59.999,169266360.71999550,192843,897.82952000,79146155.37205540,0
2025-04-21 16:00:00,88044.81,88270.88,87052.18,87176.96,1565.63292,2025-04-21 16:59:59.999,137429991.21749780,170532,649.35607000,57005225.66063690,0
2025-04-21 17:00:00,87176.97,87319.69,86389.78,86847.39,2005.35325,2025-04-21 17:59:59.999,174127429.06007330,263017,985.38550000,85540607.01622710,0
2025-04-21 18:00:00,86847.38,87047.45,86637.47,86786.29,835.76683,2025-04-21 18:59:59.999,72610072.95908550,124341,427.87952000,37173860.15205300,0
2025-04-21 19:00:00,86786.29,87488.0,86712.5,87415.1,1154.45036,2025-04-21 19:59:59.999,100685497.89462280,122874,687.61150000,59966602.58353300,0
2025-04-21 20:00:00,87415.09,87440.5,87144.69,87367.92,445.85734,2025-04-21 20:59:59.999,38893254.79467180,51414,285.58855000,24910390.43280100,0
2025-04-21 21:00:00,87367.92,87385.94,86887.15,87275.0,492.56287,2025-04-21 21:59:59.999,42932557.86097450,53339,301.98417000,26321776.00227990,0
2025-04-21 22:00:00,87275.01,87282.75,86928.74,87168.08,469.52485,2025-04-21 22:59:59.999,40885255.67712600,51975,241.53355000,21031702.81267810,0
2025-04-21 23:00:00,87168.08,87625.68,87030.65,87516.23,776.75733,2025-04-21 23:59:59.999,67798973.61002980,66648,521.81588000,45555637.19999860,0
2025-04-22 00:00:00,87516.22,87731.81,87076.03,87709.85,1336.03829,2025-04-22 00:59:59.999,116824773.02040300,125091,835.99730000,73111491.62751300,0
2025-04-22 01:00:00,87709.86,88877.0,87513.87,88400.01,2420.38751,2025-04-22 01:59:59.999,213899405.29739330,217751,1336.41203000,118087344.59901170,0
2025-04-22 02:00:00,88400.0,88684.43,87896.8,88169.21,1117.66736,2025-04-22 02:59:59.999,98590696.98138020,119731,388.02411000,34239712.65851000,0
2025-04-22 03:00:00,88169.21,88282.06,87826.08,88157.55,1074.60544,2025-04-22 03:59:59.999,94657360.30145880,81505,382.68366000,33714433.58353300,0
2025-04-22 04:00:00,88157.55,88368.83,88021.73,88056.79,677.78988,2025-04-22 04:59:59.999,59802819.19584860,62806,322.20134000,28433602.77713510,0
2025-04-22 05:00:00,88056.79,88413.12,87953.86,88391.27,539.11056,2025-04-22 05:59:59.999,47544265.69337660,59685,289.01185000,25496072.28238830,0
2025-04-22 06:00:00,88391.27,88459.03,88000.0,88246.46,556.23716,2025-04-22 06:59:59.999,49050335.42631860,61849,228.62829000,20161231.77373100,0
2025-04-22 07:00:00,88246.46,88486.0,88172.18,88476.83,948.01204,2025-04-22 07:59:59.999,83782767.60234850,74710,350.38774000,30965364.00577960,0
2025-04-22 08:00:00,88476.82,88688.0,88320.0,88414.33,667.61336,2025-04-22 08:59:59.999,59077273.79895130,61985,339.47377000,30043841.25649460,0
2025-04-22 09:00:00,88414.33,88600.0,88312.7,88574.34,616.35026,2025-04-22 09:59:59.999,54532645.52415290,44164,305.53836000,27032737.85133560,0
2025-04-22 10:00:00,88574.33,88596.97,88241.33,88513.71,602.16176,2025-04-22 10:59:59.999,53268192.43727420,48612,282.88899000,25025275.63661780,0
2025-04-22 11:00:00,88513.71,88701.93,88479.66,88614.1,773.70793,2025-04-22 11:59:59.999,68551037.47770900,53560,332.49292000,29461822.57769720,0
2025-04-22 12:00:00,88614.09,89220.35,88482.0,88992.7,1583.02158,2025-04-22 12:59:59.999,140647850.31863390,120036,894.16424000,79466917.55516610,0
