open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-10-14 07:00:00,64096.0,64686.0,64028.99,64620.87,1898.35413,2024-10-14 07:59:59.999,122179460.46007130,195479,1145.88637000,73759470.23968390,0
2024-10-14 08:00:00,64620.87,64860.0,64382.72,64427.99,1331.28363,2024-10-14 08:59:59.999,85995236.53784620,186012,575.41482000,37186319.25783430,0
2024-10-14 09:00:00,64427.99,64899.98,64340.98,64822.23,1190.87041,2024-10-14 09:59:59.999,77008819.23157880,208989,643.61511000,41615578.04857620,0
2024-10-14 10:00:00,64822.24,64999.0,64695.79,64860.18,1212.28075,2024-10-14 10:59:59.999,78643121.33830340,207625,657.81469000,42672846.95825020,0
2024-10-14 11:00:00,64860.18,65188.57,64800.01,64920.06,1604.40044,2024-10-14 11:59:59.999,104244298.44742000,240849,877.82931000,57046693.96878740,0
2024-10-14 12:00:00,64920.05,65000.0,64743.0,64868.05,1400.73972,2024-10-14 12:59:59.999,90903227.05148280,206547,619.93507000,40238286.30215440,0
2024-10-14 13:00:00,64868.06,65292.0,64660.56,65150.01,1898.5951,2024-10-14 13:59:59.999,123347515.76654310,310900,994.85075000,64637890.38480920,0
2024-10-14 14:00:00,65150.01,66299.93,65116.0,65922.0,5246.02328,2024-10-14 14:59:59.999,345345997.84075390,524637,3145.30270000,207022969.73270200,0
2024-10-14 15:00:00,65922.0,66111.16,65800.0,65870.0,2620.60347,2024-10-14 15:59:59.999,172862261.26153310,280643,1117.48581000,73721103.83042860,0
2024-10-14 16:00:00,65870.0,66014.0,65609.04,65703.99,2115.94718,2024-10-14 16:59:59.999,139116927.27786370,233101,1058.33982000,69575857.12346500,0
2024-10-14 17:00:00,65703.99,65846.0,65459.0,65640.01,1061.53508,2024-10-14 17:59:59.999,69708658.22731330,171760,495.47017000,32539114.78104390,0
2024-10-14 18:00:00,65640.0,65960.0,65579.9,65769.59,978.39321,2024-10-14 18:59:59.999,64392680.56364050,183792,482.46876000,31749347.47845490,0
2024-10-14 19:00:00,65769.59,66072.3,65723.4,65939.4,1385.23734,2024-10-14 19:59:59.999,91362509.95812950,232175,659.49120000,43495368.22915460,0
2024-10-14 20:00:00,65939.41,66050.0,65815.56,65925.97,589.40036,2024-10-14 20:59:59.999,38872926.14017540,105116,269.42538000,17770192.43846500,0
2024-10-14 21:00:00,65925.98,65999.0,65730.0,65782.14,396.51022,2024-10-14 21:59:59.999,26114859.90971400,55093,171.34617000,11285156.84869300,0
2024-10-14 22:00:00,65782.14,66500.0,65770.0,66454.0,1948.67266,2024-10-14 22:59:59.999,129055556.09926390,148791,1316.95238000,87236321.34373730,0
2024-10-14 23:00:00,66454.01,66500.0,66035.29,66083.99,946.55585,2024-10-14 23:59:59.999,62689090.63044090,120789,474.15706000,31413115.80257930,0
2024-10-15 00:00:00,66084.0,66330.0,65856.45,65929.99,1154.23779,2024-10-15 00:59:59.999,76219184.74404180,195818,501.77070000,33142980.99927640,0
2024-10-15 01:00:00,65930.0,66013.83,65733.39,65866.48,694.44944,2024-10-15 01:59:59.999,45759478.25161490,144384,314.72672000,20739900.24299700,0
2024-10-15 02:00:00,65866.48,65928.0,65706.01,65759.99,617.73826,2024-10-15 02:59:59.999,40640167.32612490,82601,279.95975000,18419985.77114300,0
2024-10-15 03:00:00,65759.99,65760.0,65324.4,65400.0,1108.4005,2024-10-15 03:59:59.999,72637791.18057350,139857,494.28598000,32386604.99319460,0
2024-10-15 04:00:00,65399.99,65691.21,65322.0,65599.99,567.45376,2024-10-15 04:59:59.999,37185996.73313860,99142,288.74715000,18923058.37708710,0
2024-10-15 05:00:00,65599.99,65600.0,65201.0,65363.24,822.80503,2024-10-15 05:59:59.999,53779896.08250610,131400,322.86752000,21101652.08397840,0
2024-10-15 06:00:00,65363.25,65612.17,65285.24,65564.98,735.52735,2024-10-15 06:59:59.999,48138429.63107940,75718,362.72073000,23743782.70439100,0
2024-10-15 07:00:00,65564.98,65846.0,65560.01,65638.74,1193.58339,2024-10-15 07:59:59.999,78455787.27780120,106555,466.30086000,30648262.08632870,0
2024-10-15 08:00:00,65638.74,65850.0,65615.57,65754.0,565.5957,2024-10-15 08:59:59.999,37182097.01934350,85206,273.04003000,17949292.79510460,0
